name,school,city,school_id,division,region,record,harbin
Struthers (Struthers),Struthers,Struthers,1500,IV,13,0-1,0.0
Trinity (Garfield Heights),Trinity,Garfield Heights,1542,IV,13,0-1,0.0
Warrensville Heights (Warrensville Heights),Warrensville Heights,Warrensville Heights,1620,IV,13,0-1,0.0
Elida (Elida),Elida,Elida,526,IV,14,1-0,6.0
Firelands (Oberlin),Firelands,Oberlin,590,IV,14,1-0,6.0
Otsego (Tontogany),Otsego,Tontogany,1212,IV,14,1-0,6.0
Perkins (Sandusky),Perkins,Sandusky,1240,IV,14,2-0,5.75
Clear Fork (Bellville),Clear Fork,Bellville,378,IV,14,1-0,5.5
Shelby (Shelby),Shelby,Shelby,1416,IV,14,1-0,5.5
Bellevue (Bellevue),Bellevue,Bellevue,190,IV,14,1-0,5.0
Van Wert (Van Wert),Van Wert,Van Wert,1596,IV,14,1-0,5.0
Ottawa-Glandorf (Ottawa),Ottawa-Glandorf,Ottawa,1214,IV,14,1-0,4.5
Highland (Marengo),Highland,Marengo,712,IV,14,1-0,4.0
Upper Sandusky (Upper Sandusky),Upper Sandusky,Upper Sandusky,1574,IV,14,1-0,4.0
Bay (Bay Village),Bay,Bay Village,168,IV,14,0-1,0.0
Benjamin Logan (Bellefontaine),Benjamin Logan,Bellefontaine,198,IV,14,0-1,0.0
Brookside (Sheffield),Brookside,Sheffield,262,IV,14,0-1,0.0
Bryan (Bryan),Bryan,Bryan,272,IV,14,0-1,0.0
Buckeye (Medina),Buckeye,Medina,276,IV,14,0-1,0.0
Clearview (Lorain),Clearview,Lorain,380,IV,14,0-1,0.0
Clyde (Clyde),Clyde,Clyde,392,IV,14,0-1,0.0
Fostoria (Fostoria),Fostoria,Fostoria,606,IV,14,0-1,0.0
Kenton (Kenton),Kenton,Kenton,804,IV,14,0-1,0.0
Lake (Millbury),Lake,Millbury,820,IV,14,0-1,0.0
Napoleon (Napoleon),Napoleon,Napoleon,1080,IV,14,0-1,0.0
River Valley (Caledonia),River Valley,Caledonia,1314,IV,14,0-1,0.0
Rossford (Rossford),Rossford,Rossford,1332,IV,14,0-1,0.0
Wauseon (Wauseon),Wauseon,Wauseon,1634,IV,14,0-1,0.0
Indian Valley (Gnadenhutten),Indian Valley,Gnadenhutten,758,IV,15,1-0,6.0
Bishop Ready (Columbus),Bishop Ready,Columbus,220,IV,15,1-0,5.5
Union Local (Belmont),Union Local,Belmont,1566,IV,15,1-0,5.5
East Liverpool (East Liverpool),East Liverpool,East Liverpool,500,IV,15,1-0,5.0
Indian Creek (Wintersville),Indian Creek,Wintersville,751,IV,15,1-0,5.0
New Lexington (New Lexington),New Lexington,New Lexington,1100,IV,15,1-0,5.0
Philo (Duncan Falls),Philo,Duncan Falls,1252,IV,15,1-0,5.0
West Muskingum (Zanesville),West Muskingum,Zanesville,1690,IV,15,1-0,5.0
Beaver Local (East Liverpool),Beaver Local,East Liverpool,176,IV,15,1-0,4.5
Claymont (Uhrichsville),Claymont,Uhrichsville,376,IV,15,1-0,4.5
Johnstown (Johnstown),Johnstown,Johnstown,794,IV,15,1-0,4.5
Alexander (Albany),Alexander,Albany,108,IV,15,1-0,3.5
Buckeye Valley (Delaware),Buckeye Valley,Delaware,286,IV,15,0-1,0.0
Cambridge (Cambridge),Cambridge,Cambridge,300,IV,15,0-1,0.0
Canton South (Canton),Canton South,Canton,1432,IV,15,0-1,0.0
Carrollton (Carrollton),Carrollton,Carrollton,322,IV,15,0-1,0.0
Circleville (Circleville),Circleville,Circleville,370,IV,15,0-1,0.0
Fairfield Union (Lancaster),Fairfield Union,Lancaster,554,IV,15,0-1,0.0
Heath (Heath),Heath,Heath,706,IV,15,0-1,0.0
John Glenn (New Concord),John Glenn,New Concord,788,IV,15,0-1,0.0
Lakewood (Hebron),Lakewood,Hebron,830,IV,15,0-1,0.0
Marion-Franklin (Columbus),Marion-Franklin,Columbus,962,IV,15,0-1,0.0
Minerva (Minerva),Minerva,Minerva,1046,IV,15,0-1,0.0
St Clairsville (St Clairsville),St Clairsville,St Clairsville,1344,IV,15,0-1,0.0
Waverly (Waverly),Waverly,Waverly,1636,IV,15,0-1,0.0
West Holmes (Millersburg),West Holmes,Millersburg,1680,IV,15,0-1,0.0
Dunbar (Dayton),Dunbar,Dayton,476,IV,16,1-0,6.0
